STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
13;0,82;0,63;0,25;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
14;3,43;2,01;0,68;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
15;0,83;0,3;0,19;A > 0.5 T;Sedikit;Ada;Tidak ada;0;PODUROMORPHA
16;0,81;0,63;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
17;1,37;0,34;0,18;A > 0.5 T;Sedikit;Ada;Tidak ada;8;PODUROMORPHA
18;2,78;1,1;0,41;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;1;0,81;0,28;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
20;3,55;1,72;0,61;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
21;0,8;0,63;0,28;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
22;1,6;0,22;0,27;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
23;0,96;0,66;0,21;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
24;1,64;1,03;0,69;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
25;0,89;0,44;0,29;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
26;1,5;0,27;0,36;A < 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
27;1,92;0,38;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
28;1,89;1,02;0,47;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
29;2,83;1,83;0,9;A > 0.5 T;Tidak ada;Ada;Ada;8;ENTOMOBRYOMORPHA
30;3,15;1,21;0,56;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
31;0,71;0,54;0,25;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
32;2,41;0,63;0,41;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
33;0,82;0,36;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
34;2,62;0,68;0,48;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
35;0,67;0,12;0,1;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
36;1,74;0,62;0,31;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
37;0,69;0,12;0,11;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
38;0,78;0,56;0,27;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
39;3,09;1,67;0,52;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
40;0,63;0,1;0,11;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
;;;;;;;;;
PLOT 1 TITIK 4;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
2;3,72;1,05;0,64;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
3;2,93;0,79;0,5;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
4;1,25;0,55;0,3;A > 0.5 T;Banyak;Ada;Ada;1;ENTOMOBRYOMORPHA
5;2,08;0,55;0,46;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
6;3,49;0,98;0,54;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
7;1,38;0,33;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
8;3,43;1,1;0,48;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;2,55;0,58;0,51;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
11;1,79;0,37;0,36;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
12;1,51;0,4;0,41;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
13;1,85;0,57;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
14;0,93;0,29;0,18;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
15;3,66;1,1;0,79;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
16;1,36;0,18;0,25;A < 0.5 T;Sedikit;Ada;Tidak ada;3;PODUROMORPHA
17;2,72;0,84;0,21;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;2,63;0,65;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;2,66;0,81;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;3,46;0,49;0,38;A > 0.5 T;Sedikit;Ada;Ada;3;PODUROMORPHA
21;2,11;0,52;0,32;A > 0.5 T;Sedikit;Ada;Ada;3;PODUROMORPHA
22;0,6;0,68;0,28;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
23;0,92;0,26;0,12;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
24;2,97;0,42;0,62;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
25;2,13;0,54;0,38;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
26;1,86;0,47;0,33;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
27;2,9;0,5;0,46;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
28;2,05;0,48;0,36;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
29;2,53;0,9;0,59;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
30;2,5;0,71;0,3;A > 0.5 T;Banyak;Ada;Ada;3;PODUROMORPHA
31;1,81;0,38;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
;;;;;;;;;
PLOT 1 TITIK 5;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;2,4;0,46;0,4;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;1,3;0,16;0,3;A < 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
3;2,48;0,5;0,3;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
4;1,77;0,34;0,25;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
